server,n,c,min,mean,stddev,median,max
forkserver,100,1,1,1,0.1,1,1
forkserver,100,10,1,2,0.3,2,3
forkserver,100,100,4,7,1.4,7,9
forkserver,500,1,0,0,0.0,0,0
forkserver,500,10,0,1,0.1,1,1
forkserver,500,100,5,7,1.0,7,9
forkserver,500,500,15,34,2.8,35,39
forkserver,1000,1,0,0,0.0,0,1
forkserver,1000,10,0,1,0.1,1,1
forkserver,1000,100,3,7,1.3,7,12
forkserver,1000,500,14,35,7.4,34,52
forkserver,2000,1,0,0,0.0,0,1
forkserver,2000,10,0,1,0.1,1,2
forkserver,2000,100,3,7,0.7,8,12
forkserver,2000,500,25,32,4.1,31,45
httpserver,100,1,0,0,0.1,0,1
httpserver,100,10,1,1,0.1,1,1
httpserver,100,100,4,8,2.0,8,11
httpserver,500,1,0,0,0.0,0,0
httpserver,500,10,0,1,0.1,0,1
httpserver,500,100,3,5,0.7,5,6
httpserver,500,500,11,20,4.4,19,28
httpserver,1000,1,0,0,0.0,0,0
httpserver,1000,10,0,1,0.0,1,1
httpserver,1000,100,2,5,0.7,5,7
httpserver,1000,500,12,23,4.1,24,27
httpserver,2000,1,0,0,0.0,0,0
httpserver,2000,10,0,1,0.0,1,1
httpserver,2000,100,2,5,0.4,5,6
httpserver,2000,500,11,26,4.7,27,34
poolserver,100,1,0,0,0.1,0,1
poolserver,100,10,0,1,0.2,1,2
poolserver,100,100,4,14,1.1,14,15
poolserver,500,1,0,0,0.0,0,0
poolserver,500,10,0,0,0.0,0,1
poolserver,500,100,3,4,0.4,4,5
poolserver,500,500,16,17,1.3,17,25
poolserver,1000,1,0,0,0.0,0,1
poolserver,1000,10,0,0,0.0,0,1
poolserver,1000,100,2,5,0.5,5,6
poolserver,1000,500,12,22,4.2,23,29
poolserver,2000,1,0,0,0.0,0,0
poolserver,2000,10,0,0,0.0,0,1
poolserver,2000,100,2,5,0.4,5,6
poolserver,2000,500,14,23,2.7,24,43
threadserver,100,1,0,1,0.1,1,1
threadserver,100,10,1,2,0.6,1,3
threadserver,100,100,5,6,0.6,6,6
threadserver,500,1,0,0,0.0,0,0
threadserver,500,10,0,1,0.1,1,1
threadserver,500,100,3,6,0.9,6,9
threadserver,500,500,13,23,2.1,23,27
threadserver,1000,1,0,0,0.0,0,1
threadserver,1000,10,0,1,0.0,1,1
threadserver,1000,100,2,6,0.7,6,8
threadserver,1000,500,18,26,4.2,27,32
threadserver,2000,1,0,0,0.0,0,1
threadserver,2000,10,0,1,0.1,1,1
threadserver,2000,100,3,6,0.7,6,9
threadserver,2000,500,19,33,4.3,33,48
